x,y,reward,collision
21.99,5.15,3.09,Hedge_25
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.01,0.46,
0.10,0.04,0.87,
0.24,0.09,1.39,
0.45,0.15,1.79,
0.69,0.25,2.13,
0.96,0.42,2.55,
1.28,0.62,2.89,
1.63,0.78,3.03,
2.03,0.92,3.43,
2.48,1.07,3.85,
2.98,1.25,4.23,
3.50,1.51,4.56,
4.05,1.83,4.98,
4.65,2.15,5.55,
5.32,2.49,5.79,
6.03,2.89,6.30,
6.73,3.36,6.17,
7.36,3.91,6.15,
7.89,4.55,6.25,
8.29,4.88,2.09,Hedge_27
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,-0.00,0.47,
0.11,-0.01,0.93,
0.25,-0.02,1.35,
0.45,-0.03,1.79,
0.71,-0.05,2.19,
1.02,-0.07,2.59,
1.38,-0.06,2.73,
1.74,-0.03,2.87,
2.15,-0.02,3.28,
2.60,-0.01,3.67,
3.11,-0.04,4.02,
3.66,-0.12,4.44,
4.27,-0.17,4.84,
4.94,-0.24,5.29,
5.64,-0.39,5.67,
6.37,-0.66,6.00,
7.09,-1.03,6.16,
7.80,-1.43,6.14,
8.48,-1.88,6.06,
9.18,-2.28,5.99,
9.88,-2.65,5.89,
10.56,-3.04,5.89,
11.24,-3.40,5.74,
11.91,-3.78,5.81,
12.61,-4.10,5.83,
13.35,-4.39,5.84,
14.07,-4.71,6.12,
14.79,-5.14,6.47,
15.46,-5.68,6.64,
16.05,-6.34,6.70,
16.47,-6.80,-1.12,Wall_Low_42
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.01,0.45,
0.11,0.05,0.96,
0.25,0.08,1.37,
0.46,0.13,1.83,
0.72,0.16,2.26,
1.04,0.18,2.64,
1.40,0.16,2.77,
1.77,0.11,2.94,
2.18,0.12,3.32,
2.64,0.18,3.67,
3.15,0.28,4.11,
3.71,0.34,4.47,
4.32,0.39,4.86,
4.99,0.44,5.31,
5.71,0.44,5.70,
6.50,0.38,6.08,
7.33,0.40,6.19,
8.14,0.49,5.98,
8.91,0.70,5.87,
9.64,1.00,5.83,
10.36,1.27,5.84,
11.09,1.50,5.65,
11.81,1.76,5.79,
12.52,2.03,5.54,
13.24,2.24,5.72,
13.99,2.41,5.81,
14.75,2.60,5.83,
15.55,2.77,6.33,
16.38,2.99,6.65,
17.19,3.30,6.71,
18.02,3.72,6.77,
18.74,4.26,6.96,
19.39,4.86,5.54,Hedge_26
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.01,0.46,
0.10,0.05,0.88,
0.24,0.10,1.40,
0.45,0.13,1.84,
0.71,0.16,2.26,
1.03,0.20,2.65,
1.40,0.25,2.83,
1.77,0.26,2.91,
2.18,0.26,3.34,
2.65,0.29,3.73,
3.16,0.35,4.13,
3.73,0.36,4.48,
4.34,0.31,4.78,
4.98,0.16,5.06,
5.64,-0.08,5.69,
6.37,-0.37,6.18,
7.12,-0.72,6.16,
7.88,-1.03,6.31,
8.65,-1.33,6.07,
9.43,-1.56,5.84,
10.20,-1.66,5.72,
10.97,-1.64,5.69,
