x,y,reward,collision
52.35,22.60,173.15,
52.68,21.56,174.24,
53.08,20.53,175.33,
53.71,19.38,176.64,
54.35,18.50,177.74,
55.27,17.57,179.04,
56.02,16.77,180.14,
56.91,15.78,181.47,
57.74,14.75,182.80,
58.48,13.93,183.90,
59.15,13.05,185.01,
59.80,11.90,186.33,
60.23,10.89,187.43,
60.54,9.84,188.52,
60.69,8.76,189.62,
60.84,7.44,190.94,
60.82,6.34,192.04,
60.63,5.27,193.13,
60.37,3.97,194.45,
60.05,2.92,195.55,
59.78,1.86,196.65,
59.52,0.57,197.97,
59.24,-0.50,199.07,
58.96,-1.57,200.17,
58.53,-2.82,201.49,
58.22,-3.87,202.59,
58.02,-4.95,203.69,
57.94,-6.06,204.80,
58.00,-7.38,206.13,
58.29,-8.67,207.45,
58.51,-9.76,208.56,
58.89,-11.04,209.89,
59.17,-12.12,211.00,
59.56,-13.40,212.34,
59.80,-14.49,213.46,
60.14,-15.55,214.58,
60.65,-16.79,215.91,
61.04,-17.83,217.03,
61.46,-18.87,218.15,
62.10,-20.03,219.47,
62.71,-20.96,220.58,
63.31,-22.15,221.91,
63.66,-23.20,223.02,
63.95,-24.27,224.13,
64.43,-25.51,225.46,
65.15,-26.61,226.78,
65.91,-27.39,227.87,
66.70,-28.16,228.97,
67.72,-29.00,230.29,
68.56,-29.71,231.39,
69.45,-30.36,232.49,
70.48,-31.17,233.81,
71.42,-31.74,234.90,
72.44,-32.11,235.99,
73.71,-32.35,237.29,
74.78,-32.56,238.38,
75.86,-32.71,239.46,
77.15,-32.95,240.78,
78.23,-33.14,241.87,
79.32,-33.31,242.97,
80.62,-33.36,244.28,
81.72,-33.32,245.37,
82.82,-33.38,246.48,
83.74,-33.46,247.41,(null)
-0.00,0.30,90.30,
-0.01,0.58,90.58,
-0.05,0.95,90.94,
-0.09,1.48,91.48,
-0.17,1.95,91.95,
-0.18,2.49,92.50,
-0.13,3.26,93.26,
-0.12,3.99,93.99,
-0.01,4.79,94.80,
0.28,5.82,95.87,
0.46,6.80,96.87,
0.50,8.08,98.15,
0.34,9.09,99.17,
0.16,10.09,100.19,
-0.04,10.85,100.98,
-0.23,11.80,101.94,
-0.31,12.96,103.10,
-0.25,14.12,104.27,
-0.14,15.09,105.24,
-0.15,16.08,106.23,
-0.28,17.28,107.44,
-0.33,18.31,108.47,
-0.32,19.34,109.50,
-0.41,20.39,110.55,
-0.66,21.64,111.83,
-0.84,22.70,112.91,
-1.21,23.95,114.21,
-1.60,24.96,115.29,
-1.89,26.02,116.39,
-2.10,27.10,117.49,
-2.49,28.37,118.82,
-2.95,29.38,119.93,
-3.64,30.50,121.25,
-4.51,31.49,122.56,
-5.29,32.27,123.66,
-6.02,33.09,124.77,
-6.89,34.10,126.10,
-7.49,35.03,127.21,
-7.94,36.26,128.51,
